dataset,task,n_samples,n_features,grouped,status,model,bal_acc,auc,brier,mcc,repeat,fold,mae,r2,spearman
rehab24_ex1,classification,88,20,True,active,logreg,0.8045454545454545,0.9545454545454544,0.1117779040664986,0.6264144833056663,11,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8590909090909091,0.9272727272727272,0.1124537957554045,0.7181818181818181,11,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.000232164447973,1.0,11,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0039580314034002,1.0,12,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.6681818181818182,0.7181818181818181,0.2232692070626967,0.3363636363636363,12,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.6590909090909092,0.7727272727272727,0.1974682583881999,0.337099931231621,12,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0033497999325545,1.0,12,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9166666666666669,1.0,0.0796546089243048,0.8333333333333334,12,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0395413644571369,1.0,13,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8136363636363637,0.9727272727272728,0.1019491847080984,0.6330541649476573,13,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.6590909090909092,0.8363636363636364,0.189781669966454,0.337099931231621,13,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0007186611269817,1.0,13,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.5,0.5333333333333333,0.3530177612484195,0.0,13,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9,1.0,0.1455193749410333,0.8528028654224417,14,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8136363636363637,0.9727272727272728,0.1019491847080984,0.6330541649476573,14,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8045454545454545,0.9545454545454544,0.1117779040664986,0.6264144833056663,14,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0007186611269817,1.0,14,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9166666666666669,1.0,0.0796546089243048,0.8333333333333334,14,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0039580314034002,1.0,15,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9166666666666669,1.0,0.0796546089243048,0.8333333333333334,15,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.7545454545454545,0.8454545454545455,0.1505070513457231,0.5393598899705937,15,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8136363636363637,0.9727272727272728,0.1019491847080984,0.6330541649476573,15,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0007186611269817,1.0,15,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0039580314034002,1.0,16,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.5,0.5333333333333333,0.3530177612484195,0.0,16,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9545454545454546,0.990909090909091,0.0839820194788361,0.9090909090909092,16,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.6681818181818182,0.7454545454545455,0.2371196746552198,0.3363636363636363,16,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.000232164447973,1.0,16,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0039580314034002,1.0,17,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8136363636363637,0.9090909090909092,0.1267213511294631,0.6330541649476573,17,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.6590909090909092,0.7272727272727273,0.1940690485910958,0.337099931231621,17,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8,0.93,0.1149819660303633,0.6,17,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9166666666666669,1.0,0.0796546089243048,0.8333333333333334,17,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0039580314034002,1.0,18,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9166666666666669,1.0,0.0796546089243048,0.8333333333333334,18,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.6590909090909092,0.7272727272727273,0.1940690485910958,0.337099931231621,18,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.6681818181818182,0.7181818181818181,0.2232692070626967,0.3363636363636363,18,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0229418030313645,1.0,18,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0395413644571369,1.0,19,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9090909090909092,0.9727272727272728,0.0817612409055653,0.8257228238447705,19,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8045454545454545,0.9545454545454544,0.1117779040664986,0.6264144833056663,19,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0229418030313645,1.0,19,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9166666666666669,1.0,0.0796546089243048,0.8333333333333334,19,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0039580314034002,1.0,20,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8590909090909091,0.9272727272727272,0.1124537957554045,0.7181818181818181,20,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.75,0.8363636363636364,0.1819783190499633,0.5863019699779286,20,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8,0.93,0.1206955576531552,0.6,20,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9166666666666669,1.0,0.0796546089243048,0.8333333333333334,20,5,,,
rehab24_ex1,classification,88,20,True,active,rf,0.2,0.0399999999999999,0.3306441077294028,-0.7071067811865475,1,1,,,
